"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"95","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","660","755","87%","105","105","100%","80","80","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"96","","Total "," 29,021 "," 33,223 ","87.4%"," 5,310 "," 5,707 ","93.0%"," 2,445 "," 2,541 ","96.2%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"97","","","","","","","","","","",""," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"98","","","","","","","","","","",""," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"99","","","","","","","","","","",""," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"100","Non-Foundation Trusts",""," April 2014 ","","","","","","","",""," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"101","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases further assessed","Number of cases referred","Number of cases with positive or inconclusive diagnostic assessment","Percentage of cases referred"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"102","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","370","583","63%","50","108","46%","26","58","45%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"103","BARNET AND CHASE FARM HOSPITALS NHS TRUST","RVL","292","384","76%","8","39","21%","4","4","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"104","BARTS HEALTH NHS TRUST","R1H","427","630","68%","195","222","88%","45","52","87%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"105","BEDFORD HOSPITAL NHS TRUST","RC1","182","202","90%","15","16","94%","11","11","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"106","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","220","238","92%","44","44","100%","40","40","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"107","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","96","355","27%","20","38","53%","36","36","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"108","CROYDON HEALTH SERVICES NHS TRUST","RJ6","342","371","92%","66","67","99%","63","63","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"109","DARTFORD AND GRAVESHAM NHS TRUST","RN7","171","182","94%","25","25","100%","15","16","94%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"110","EALING HOSPITAL NHS TRUST","RC3","77","85","91%","2","2","100%","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"111","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","321","321","100%","166","173","96%","54","61","89%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"112","EAST CHESHIRE NHS TRUST","RJN","276","291","95%","37","41","90%","29","29","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"113","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","538","562","96%","129","132","98%","26","26","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"114","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","425","460","92%","66","68","97%","51","54","94%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"115","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","323","359","90%","52","56","93%","32","32","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"116","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","222","239","93%","11","12","92%","5","5","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"117","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","193","193","100%","8","8","100%","24","24","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"118","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","451","501","90%","35","35","100%","32","32","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"119","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","301","340","89%","205","213","96%","41","44","93%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"120","IPSWICH HOSPITAL NHS TRUST","RGQ","369","370","100%","66","68","97%","56","56","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"121","ISLE OF WIGHT NHS TRUST","R1F","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"122","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","849","882","96%","55","57","96%","41","43","95%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"123","LEWISHAM AND GREENWICH NHS TRUST","RJ2","443","443","100%","55","55","100%","21","21","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"124","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","453","458","99%","60","60","100%","74","74","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"125","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","306","340","90%","23","25","92%","16","16","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"126","MID YORKSHIRE HOSPITALS NHS TRUST","RXF","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH",""," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"127","NORTH BRISTOL NHS TRUST","RVJ","533","576","93%","27","30","90%","23","29","79%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"128","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","346","633","55%","299","311","96%","146","299","49%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"129","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","676","739","91%","341","374","91%","4","4","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"130","NORTH WEST LONDON HOSPITALS NHS TRUST","RV8","281","492","57%","19","44","43%","7","10","70%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"131","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","333","367","91%","73","73","100%","20","21","95%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"132","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","287","288","100%","84","84","100%","2","2","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"133","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","906","1078","84%","111","111","100%","75","75","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"134","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","407","654","62%","350","407","86%","130","135","96%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"135","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","438","530","83%","38","42","90%","9","9","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"136","PORTSMOUTH HOSPITALS NHS TRUST","RHU","269","440","61%","43","43","100%","15","22","68%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"137","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","385","401","96%","50","50","100%","18","18","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"138","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","270","487","55%","13","45","29%","5","9","56%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"139","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","1","1","100%","0","0","-","0","0","-"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"140","ROYAL UNITED HOSPITAL BATH NHS TRUST","RD1","533","581","92%","30","34","88%","10","10","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"141","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","144","148","97%","15","22","68%","4","4","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"142","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","485","545","89%","25","25","100%","3","3","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"143","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","34","362","9%","1","11","9%","1","1","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"144","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","368","378","97%","59","59","100%","14","14","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"145","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","484","519","93%","52","57","91%","52","52","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"146","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","254","418","61%","11","11","100%","30","128","23%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"147","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","493","502","98%","33","33","100%","33","33","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"148","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","169","177","95%","34","35","97%","15","15","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"149","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","573","685","84%","357","457","78%","51","51","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"150","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST","RJE","760","760","100%","371","371","100%","46","46","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"151","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","462","495","93%","55","55","100%","52","52","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"152","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","870","933","93%","233","238","98%","65","65","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"153","WALSALL HEALTHCARE NHS TRUST","RBK","468","514","91%","79","80","99%","29","32","91%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"154","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","558","583","96%","42","45","93%","14","15","93%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"155","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","174","191","91%","16","17","94%","19","19","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"156","WESTON AREA HEALTH NHS TRUST","RA3","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"157","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","276","720","38%","63","71","89%","41","41","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"158","WYE VALLEY NHS TRUST","RLQ","160","176","91%","4","4","100%","4","4","100%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"159","","Total "," 20,044 "," 24,162 ","83.0%"," 4,321 "," 4,803 ","90.0%"," 1,679 "," 2,015 ","83.3%"," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"160","","","","","","","","","","",""," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"161","","","","","","","","","","",""," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"162","","","","","","","","","","",""," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"163","","","","","","","","","","",""," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"164","","","","","","","","`","","",""," April 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"165","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","282","413","68%","24","33","73%","2","2","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"166","AIREDALE NHS FOUNDATION TRUST","RCF","231","250","92%","23","23","100%","3","3","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"167","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","260","283","92%","26","26","100%","24","24","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"168","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","267","327","82%","-","-","-","-","-","-"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"169","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","438","470","93%","438","470","93%","10","10","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"170","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"171","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","355","550","65%","16","32","50%","3","9","33%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"172","BOLTON NHS FOUNDATION TRUST","RMC","295","323","91%","32","32","100%","26","26","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"173","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","287","287","100%","5","5","100%","5","5","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"174","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","386","392","98%","8","8","100%","6","6","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"175","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","469","491","96%","87","87","100%","53","53","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"176","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","576","607","95%","68","71","96%","64","64","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"177","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","383","413","93%","13","13","100%","7","7","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"178","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","RQM","123","132","93%","27","27","100%","27","27","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"179","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","340","340","100%","49","49","100%","28","28","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"180","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","240","240","100%","47","47","100%","33","33","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"181","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","541","543","100%","172","172","100%","81","81","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"182","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","272","288","94%","12","13","92%","10","10","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"183","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","588","645","91%","29","30","97%","14","15","93%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"184","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","558","610","91%","12","31","39%","4","8","50%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"185","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","669","743","90%","8","8","100%","4","4","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"186","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","124","326","38%","27","27","100%","22","22","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"187","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","700","704","99%","54","57","95%","46","46","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"188","FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST","RDU","340","344","99%","46","46","100%","41","41","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"189","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","246","270","91%","36","36","100%","16","16","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"190","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","540","612","88%","67","67","100%","28","28","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"191","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","392","478","82%","78","92","85%","40","40","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"192","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","178","191","93%","80","86","93%","31","31","100%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
"193","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","338","578","58%","62","73","85%","10","16","63%"," May 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/11/Dementia-Data-Collection-Q1-2014-15-REVISED-CSV-35KB.csv"
