"","Org.name","Org.code","Number.to.whom.case.finding.is.applied","Number.of.emergency.admissions","Percentage.to.whom.case.finding.is.applied","Number.who.had.a.diagnostic.assessment","Number.with.positive.case.finding.question","Percentage.with.a..diagnostic.assessment","Number.of.cases.referred","Number.with.a.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url","revised"
"552","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","383","402","95%","58","60","97%","1","1","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"553","SALISBURY NHS FOUNDATION TRUST","RNZ","139","151","92%","18","18","100%","15","15","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"554","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","878","895","98%","305","305","100%","156","156","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"555","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","587","649","90%","7","7","100%","6","6","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"556","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","492","528","93%","69","74","93%","28","28","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"557","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","251","318","79%","11","14","79%","4","5","80%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"558","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","196","212","92%","23","25","92%","13","14","93%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"559","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","464","467","99%","87","88","99%","45","45","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"560","ST GEORGE'S HEALTHCARE NHS FOUNDATION TRUST","RJ7","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"561","STOCKPORT NHS FOUNDATION TRUST","RWJ","433","448","97%","36","39","92%","25","25","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"562","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","398","404","99%","5","5","100%","1","1","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"563","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","432","517","84%","13","13","100%","5","5","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"564","THE CHRISTIE NHS FOUNDATION TRUST","RBV","30","31","97%","0","0","-","0","0","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"565","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","15","18","83%","1","1","100%","0","0","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"566","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","654","693","94%","86","86","100%","42","42","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"567","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","160","238","67%","11","18","61%","8","8","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"568","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","383","636","60%","8","44","18%","3","5","60%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"569","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","330","351","94%","51","51","100%","51","51","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"570","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","1","1","100%","0","0","-","0","0","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"571","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","395","458","86%","86","88","98%","16","16","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"572","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","668","687","97%","58","145","40%","18","19","95%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"573","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","11","11","100%","0","0","-","0","0","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"574","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","3","4","75%","0","0","-","0","0","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"575","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","4","4","100%","0","0","-","0","0","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"576","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST","RA9","296","494","60%","40","77","52%","28","29","97%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"577","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","123","123","100%","11","11","100%","11","11","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"578","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","337","337","100%","39","39","100%","37","37","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"579","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","749","773","97%","138","138","100%","31","31","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"580","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","618","628","98%","35","35","100%","5","5","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"581","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","370","458","81%","40","41","98%","4","4","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"582","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","355","393","90%","46","46","100%","25","25","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"583","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","430","470","91%","89","89","100%","18","18","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"584","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","342","342","100%","108","108","100%","108","108","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"585","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","966","1044","93%","98","104","94%","24","24","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"586","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","782","848","92%","217","217","100%","46","46","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"587","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","405","416","97%","45","45","100%","45","45","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"588","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","91","215","42%","50","50","100%","2","2","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"589","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","835","927","90%","134","134","100%","121","121","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"590","","Total "," 36,092 "," 41,031 ","88.0%"," 6,136 "," 6,539 ","93.8%"," 2,834 "," 2,967 ","95.5%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"591","","","","","","","","","","",""," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"592","Non-Foundation Trusts",""," January 2017 ","","","","","","","",""," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"593","Org name","Org code"," Number to whom case finding is applied "," Number of emergency admissions ","Percentage to whom case finding is applied"," Number who had a diagnostic assessment  "," Number with positive case finding question "," Percentage with a  diagnostic assessment "," Number of cases referred "," Number with a positive or inconclusive diagnostic assessment ","Percentage of cases referred"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"594","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","645","681","95%","56","56","100%","55","55","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"595","BARTS HEALTH NHS TRUST","R1H","834","1023","82%","123","143","86%","96","100","96%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"596","BEDFORD HOSPITAL NHS TRUST","RC1","299","301","99%","3","3","100%","2","2","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"597","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","125","132","95%","31","31","100%","29","31","94%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"598","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","498","622","80%","103","103","100%","89","99","90%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"599","CROYDON HEALTH SERVICES NHS TRUST","RJ6","459","507","91%","64","67","96%","64","64","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"600","DARTFORD AND GRAVESHAM NHS TRUST","RN7","186","195","95%","21","22","95%","11","12","92%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"601","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","439","439","100%","71","71","100%","47","47","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"602","EAST CHESHIRE NHS TRUST","RJN","308","313","98%","17","18","94%","0","10","0%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"603","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","565","606","93%","136","144","94%","38","38","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"604","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","624","654","95%","115","117","98%","96","96","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"605","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","238","522","46%","50","56","89%","7","14","50%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"606","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","211","233","91%","75","76","99%","1","1","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"607","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","210","233","90%","16","16","100%","6","6","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"608","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","513","569","90%","43","46","93%","33","33","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"609","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","317","350","91%","136","148","92%","21","23","91%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"610","IPSWICH HOSPITAL NHS TRUST","RGQ","464","465","100%","40","40","100%","26","27","96%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"611","ISLE OF WIGHT NHS TRUST","R1F","33","35","94%","1","2","50%","1","1","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"612","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","652","652","100%","16","16","100%","11","11","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"613","LEWISHAM AND GREENWICH NHS TRUST","RJ2","365","365","100%","48","48","100%","35","35","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"614","LONDON NORTHWEST HEALTHCARE NHS TRUST","R1K","644","660","98%","162","163","99%","13","13","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"615","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","632","638","99%","89","89","100%","65","65","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"616","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","369","512","72%","13","41","32%","12","41","29%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"617","MID YORKSHIRE HOSPITALS NHS TRUST","RXF","495","500","99%","63","63","100%","49","51","96%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"618","NORTH BRISTOL NHS TRUST","RVJ","818","840","97%","31","38","82%","36","36","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"619","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","299","423","71%","123","278","44%","0","13","0%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"620","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","657","722","91%","346","372","93%","0","0","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"621","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","314","324","97%","61","61","100%","9","9","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"622","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","232","279","83%","0","22","0%","0","0","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"623","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","1074","1217","88%","133","133","100%","67","67","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"624","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","564","600","94%","30","30","100%","12","12","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"625","PLYMOUTH HOSPITALS NHS TRUST","RK9","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"626","PORTSMOUTH HOSPITALS NHS TRUST","RHU","463","659","70%","87","87","100%","63","63","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"627","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","415","417","100%","43","43","100%","17","17","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"628","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","437","477","92%","3","3","100%","2","2","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"629","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","5","5","100%","0","0","-","0","0","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"630","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","158","174","91%","22","22","100%","13","14","93%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"631","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","471","489","96%","25","25","100%","8","8","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"632","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","177","369","48%","5","7","71%","1","5","20%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"633","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","415","433","96%","70","76","92%","12","17","71%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"634","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","727","763","95%","53","57","93%","53","53","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"635","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","302","326","93%","135","135","100%","49","51","96%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"636","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","282","381","74%","13","13","100%","12","12","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"637","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","252","258","98%","42","42","100%","33","33","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"638","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","1070","1175","91%","156","165","95%","41","44","93%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"639","UNIVERSITY HOSPITALS OF NORTH MIDLANDS","RJE","440","636","69%","256","275","93%","9","34","26%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"640","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","539","570","95%","79","79","100%","77","77","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"641","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","920","1018","90%","255","263","97%","86","86","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"642","WALSALL HEALTHCARE NHS TRUST","RBK","394","484","81%","63","64","98%","1","2","50%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"643","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","686","760","90%","38","42","90%","11","11","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"644","WESTON AREA HEALTH NHS TRUST","RA3","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"645","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","725","770","94%","215","236","91%","144","144","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"646","WYE VALLEY NHS TRUST","RLQ","131","143","92%","4","4","100%","4","4","100%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"647","","Total "," 23,092 "," 25,919 ","89.1%"," 3,780 "," 4,151 ","91.1%"," 1,567 "," 1,689 ","92.8%"," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"648","","","","","","","","","","",""," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"649","","","","","","","","","","",""," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
"650","","","","","","","","","","",""," January 2017 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2017/06/Dementia-Data-Collection-Q4-2016-17-CSV-36KB.csv",FALSE
