"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.further.assessed","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"408","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC"," 239 "," 257 ","93%"," -   "," -   "," -   "," -   "," -   "," -   "," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"409","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR"," 228 "," 721 ","32%"," 39 "," 52 ","75%"," 27 "," 29 ","93%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"410","Total NHS Foundation Trusts",""," 22,351 "," 28,724 ","78%"," 4,124 "," 4,669 ","88%"," 1,853 "," 1,999 ","93%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"411","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"412","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"413","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"414","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"415","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"416","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"417","Non-Foundation Trusts",""," June 2013 ","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"418","Organisation Name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases further assessed"," Number of cases referred "," Number of cases with positive or inconclusive diagnostic assessment ","Percentage of cases referred"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"419","ISLE OF WIGHT NHS TRUST","R1F"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"420","BARTS HEALTH NHS TRUST","R1H"," 372 "," 2,503 ","15%"," 183 "," 213 ","86%"," -   "," -   "," -   "," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"421","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP"," 298 "," 322 ","93%"," 150 "," 161 ","93%"," 1 "," 1 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"422","WALSALL HEALTHCARE NHS TRUST","RBK"," 381 "," 393 ","97%"," 89 "," 90 ","99%"," 12 "," 12 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"423","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN"," 297 "," 324 ","92%"," 44 "," 45 ","98%"," 16 "," 18 ","89%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"424","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ"," 276 "," 276 ","100%"," 43 "," 45 ","96%"," -   "," -   "," -   "," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"425","BEDFORD HOSPITAL NHS TRUST","RC1"," 217 "," 234 ","93%"," 10 "," 10 ","100%"," 9 "," 9 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"426","EALING HOSPITAL NHS TRUST","RC3"," 127 "," 127 ","100%"," 7 "," 7 ","100%"," -   "," -   "," -   "," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"427","ROYAL UNITED HOSPITAL BATH NHS TRUST","RD1"," 450 "," 568 ","79%"," -   "," -   "," -   "," -   "," -   "," -   "," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"428","ROYAL CORNWALL HOSPITALS NHS TRUST","REF"," 328 "," 328 ","100%"," 61 "," 61 ","100%"," 28 "," 28 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"429","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4"," 542 "," 638 ","85%"," 27 "," 95 ","28%"," -   "," 9 ","0%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"430","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW"," 189 "," 212 ","89%"," 15 "," 25 ","60%"," 11 "," 11 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"431","IPSWICH HOSPITAL NHS TRUST","RGQ"," 4 "," 441 ","1%"," 1 "," 1 ","100%"," 1 "," 1 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"432","PORTSMOUTH HOSPITALS NHS TRUST","RHU"," 412 "," 667 ","62%"," 57 "," 72 ","79%"," 46 "," 46 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"433","LEWISHAM HEALTHCARE NHS TRUST","RJ2"," 239 "," 241 ","99%"," 40 "," 40 ","100%"," 34 "," 34 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"434","UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST","RJE"," 749 "," 749 ","100%"," 270 "," 270 ","100%"," 27 "," 27 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"435","EAST CHESHIRE NHS TRUST","RJN"," 261 "," 266 ","98%"," 59 "," 87 ","68%"," 20 "," 26 ","77%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"436","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB"," 445 "," 469 ","95%"," 64 "," 64 ","100%"," 59 "," 59 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"437","THE WHITTINGTON HOSPITAL NHS TRUST","RKE"," 163 "," 168 ","97%"," 32 "," 35 ","91%"," 16 "," 17 ","94%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"438","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4"," 342 "," 474 ","72%"," 31 "," 31 ","100%"," 26 "," 26 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"439","WYE VALLEY NHS TRUST","RLQ"," 137 "," 147 ","93%"," 1 "," 1 ","100%"," 1 "," 1 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"440","GEORGE ELIOT HOSPITAL NHS TRUST","RLT"," 273 "," 282 ","97%"," 17 "," 17 ","100%"," 13 "," 13 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"441","DARTFORD AND GRAVESHAM NHS TRUST","RN7"," 180 "," 199 ","90%"," 12 "," 12 ","100%"," 4 "," 4 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"442","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS"," 6 "," 277 ","2%"," 1 "," 1 ","100%"," 1 "," 1 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"443","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6"," Nil return "," Nil return ","N/A"," Nil return "," Nil return ","N/A"," Nil return "," Nil return ","N/A"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"444","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8"," 213 "," 234 ","91%"," 27 "," 30 ","90%"," 22 "," 23 ","96%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"445","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ"," 27 "," 303 ","9%"," 2 "," 2 ","100%"," 2 "," 2 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"446","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW"," 175 "," 396 ","44%"," 5 "," 5 ","100%"," 6 "," 90 ","7%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"447","LEEDS TEACHING HOSPITALS NHS TRUST","RR8"," 799 "," 829 ","96%"," 90 "," 97 ","93%"," 49 "," 52 ","94%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"448","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH"," 273 "," 638 ","43%"," 262 "," 264 ","99%"," 86 "," 86 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"449","NORTH WEST LONDON HOSPITALS NHS TRUST","RV8","133","199","67%","9","9","100%","6","8","75%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"450","NORTH BRISTOL NHS TRUST","RVJ"," 445 "," 492 ","90%"," 16 "," 19 ","84%"," 11 "," 20 ","55%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"451","BARNET AND CHASE FARM HOSPITALS NHS TRUST","RVL"," 292 "," 516 ","57%"," 12 "," 37 ","32%"," 5 "," 5 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"452","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR"," 200 "," 346 ","58%"," 25 "," 42 ","60%"," 9 "," 11 ","82%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"453","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY"," 67 "," 369 ","18%"," 2 "," 3 ","67%"," 2 "," 2 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"454","PENNINE ACUTE HOSPITALS NHS TRUST","RW6"," 535 "," 598 ","89%"," 74 "," 95 ","78%"," 6 "," 6 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"455","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA"," 409 "," 434 ","94%"," 32 "," 32 ","100%"," 30 "," 31 ","97%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"456","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD"," 619 "," 728 ","85%"," 326 "," 435 ","75%"," 52 "," 52 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"457","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE"," 837 "," 976 ","86%"," 336 "," 337 ","100%"," 100 "," 100 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"458","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF"," 400 "," 400 ","100%"," 57 "," 57 ","100%"," 58 "," 58 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"459","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG"," 592 "," 628 ","94%"," 34 "," 37 ","92%"," 11 "," 11 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"460","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH"," 87 "," 165 ","53%"," 47 "," 47 ","100%"," 260 "," 260 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"461","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP"," 161 "," 674 ","24%"," 16 "," 17 ","94%"," 10 "," 10 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"462","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1"," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"463","EAST SUSSEX HEALTHCARE NHS TRUST","RXC"," 325 "," 545 ","60%"," 72 "," 76 ","95%"," 13 "," 46 ","28%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"464","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH"," 298 "," 316 ","94%"," 66 "," 66 ","100%"," 52 "," 57 ","91%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"465","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK"," 66 "," 123 ","54%"," 35 "," 36 ","97%"," 24 "," 26 ","92%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"466","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ"," 229 "," 358 ","64%"," 111 "," 152 ","73%"," 75 "," 111 ","68%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"467","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR"," 482 "," 488 ","99%"," 134 "," 139 ","96%"," 36 "," 37 ","97%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"468","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW"," 370 "," 592 ","63%"," 35 "," 35 ","100%"," 2 "," 5 ","40%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"469","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ"," 237 "," 246 ","96%"," 233 "," 237 ","98%"," 53 "," 55 ","96%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"470","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","430","459","94%","73","80","91%","73","73","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"471","SOUTH LONDON HEALTHCARE NHS TRUST","RYQ"," 289 "," 306 ","94%"," 45 "," 45 ","100%"," 13 "," 13 ","100%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"472","Total NHS Non-Foundation Trusts","Total"," 15,678 "," 22,663 ","69%"," 3,390 "," 3,814 ","89%"," 1,391 "," 1,593 ","87%"," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"473","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"474","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"475","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"476","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"477","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"478","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"479","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"480","","","","","","","","","","",""," June 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q1-2013-14-Revised-July2015-CSV-39KB.csv"
"481","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","189","361","52.35%","12","16","75.00%","3","3","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"482","AIREDALE NHS FOUNDATION TRUST","RCF","206","263","78.33%","40","46","86.96%"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"483","ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","343","345","99.42%","43","44","97.73%","36","36","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"484","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","296","385","76.88%"," -   "," -   ","-"," -   "," -   ","-"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"485","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","180","187","96.26%","180","187","96.26%","9","10","90.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"486","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NIL RETURN","NIL RETURN","NIL RETURN"," NIL RETURN "," NIL RETURN ","NIL RETURN"," NIL RETURN "," NIL RETURN ","NIL RETURN"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"487","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","273","503","54.27%","36","55","65.45%"," -   ","15","0.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"488","BOLTON NHS FOUNDATION TRUST","RMC","248","305","81.31%","20","20","100.00%","11","15","73.33%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"489","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","315","315","100.00%","7","7","100.00%","7","7","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"490","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","324","335","96.72%","12","12","100.00%","9","9","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"491","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","417","428","97.43%","66","67","98.51%","42","42","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"492","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","513","575","89.22%","78","78","100.00%","71","71","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"493","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","443","451","98.23%","26","27","96.30%","19","19","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"494","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","322","328","98.17%","37","39","94.87%","25","26","96.15%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"495","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","207","207","100.00%","86","86","100.00%","38","39","97.44%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"496","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","459","468","98.08%","155","155","100.00%","77","77","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"497","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","275","282","97.52%","20","20","100.00%","8","8","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"498","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","571","630","90.63%","45","47","95.74%","20","20","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
"499","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","626","626","100.00%","35","50","70.00%","4","4","100.00%"," July 2013 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/05/Dementia-Data-Collection-Q2-2013-14-REVISED-CSV-40KB.csv"
