"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","Number.of.cases.referred","Number.of.cases.with.positive.or.inconclusive.diagnostic.assessment","Percentage.of.cases.referred","month","url"
"524","HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST","RD7","389","408","95%","26","28","93%","10","10","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"525","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","285","316","90%","29","32","91%","20","22","91%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"526","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","73","75","97%","73","73","100%","12","12","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"527","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","566","595","95%","133","136","98%","114","115","99%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"528","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","402","417","96%","127","127","100%","106","110","96%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"529","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","27","27","100%","1","1","100%","1","1","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"530","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","3","3","100%","0","0","-","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"531","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","301","307","98%","23","24","96%","16","16","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"532","MEDWAY NHS FOUNDATION TRUST","RPA","292","323","90%","38","40","95%","34","34","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"533","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","451","463","97%","38","38","100%","38","38","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"534","MID STAFFORDSHIRE NHS FOUNDATION TRUST","RJD","156","167","93%","15","15","100%","15","15","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"535","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","253","279","91%","19","19","100%","9","10","90%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"536","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN","NIL RETURN"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"537","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","617","654","94%","61","66","92%","61","61","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"538","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","367","367","100%","25","25","100%","6","6","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"539","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","423","443","95%","17","18","94%","22","22","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"540","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST","RTF","437","450","97%","59","63","94%","2","2","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"541","PAPWORTH HOSPITAL NHS FOUNDATION TRUST","RGM","13","13","100%","1","1","100%","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"542","PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST","RGN","533","566","94%","329","329","100%","92","92","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"543","POOLE HOSPITAL NHS FOUNDATION TRUST","RD3","826","834","99%","834","834","100%","57","57","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"544","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST","RPC","7","7","100%","0","0","-","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"545","ROYAL BERKSHIRE NHS FOUNDATION TRUST","RHW","364","402","91%","143","143","100%","26","26","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"546","ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST","RT3","22","24","92%","1","1","100%","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"547","ROYAL DEVON AND EXETER NHS FOUNDATION TRUST","RH8","540","580","93%","526","526","100%","273","273","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"548","ROYAL FREE LONDON NHS FOUNDATION TRUST","RAL","542","658","82%","204","242","84%","63","63","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"549","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST","RA2","145","160","91%","11","12","92%","8","8","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"550","SALFORD ROYAL NHS FOUNDATION TRUST","RM3","308","308","100%","42","43","98%","4","4","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"551","SALISBURY NHS FOUNDATION TRUST","RNZ","76","90","84%","17","17","100%","13","13","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"552","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","RHQ","714","730","98%","201","202","100%","123","123","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"553","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST","RK5","635","671","95%","16","17","94%","2","2","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"554","SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST","RA9","94","400","24%","10","31","32%","5","5","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"555","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST","RTR","537","579","93%","83","91","91%","31","32","97%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"556","SOUTH TYNESIDE NHS FOUNDATION TRUST","RE9","262","280","94%","90","99","91%","24","24","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"557","SOUTH WARWICKSHIRE NHS FOUNDATION TRUST","RJC","241","255","95%","37","39","95%","35","37","95%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"558","SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RAJ","389","390","100%","195","195","100%","140","140","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"559","STOCKPORT NHS FOUNDATION TRUST","RWJ","498","502","99%","22","23","96%","14","14","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"560","TAMESIDE HOSPITAL NHS FOUNDATION TRUST","RMP","316","341","93%","9","9","100%","4","4","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"561","TAUNTON AND SOMERSET NHS FOUNDATION TRUST","RBA","269","411","65%","69","69","100%","8","8","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"562","THE CHRISTIE NHS FOUNDATION TRUST","RBV","18","20","90%","0","0","-","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"563","THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST","REN","11","11","100%","1","2","50%","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"564","THE DUDLEY GROUP NHS FOUNDATION TRUST","RNA","377","580","65%","100","100","100%","44","47","94%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"565","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST","RAS","152","202","75%","25","33","76%","21","21","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"566","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST","RTD","496","543","91%","50","55","91%","45","50","90%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"567","THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST","RCX","271","293","92%","43","43","100%","43","43","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"568","THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RL1","5","6","83%","5","5","100%","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"569","THE ROTHERHAM NHS FOUNDATION TRUST","RFR","299","312","96%","67","73","92%","1","11","9%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"570","THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST","RDZ","476","541","88%","43","75","57%","18","19","95%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"571","THE ROYAL MARSDEN NHS FOUNDATION TRUST","RPY","27","27","100%","0","0","-","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"572","THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST","RRJ","7","7","100%","0","0","-","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"573","THE WALTON CENTRE NHS FOUNDATION TRUST","RET","4","4","100%","0","0","-","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"574","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST","RRV","117","117","100%","15","15","100%","15","15","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"575","UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST","RM2","315","320","98%","53","55","96%","41","41","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"576","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST","RHM","591","608","97%","110","110","100%","43","44","98%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"577","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST","RRK","531","534","99%","36","36","100%","14","14","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"578","UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST","RA7","-","-","-","-","-","-","-","-","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"579","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST","RTX","128","351","36%","4","14","29%","1","1","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"580","WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST","RWW","361","383","94%","29","29","100%","2","2","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"581","WEST SUFFOLK NHS FOUNDATION TRUST","RGR","326","358","91%","21","21","100%","14","14","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"582","WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST","RYR","683","717","95%","68","70","97%","42","42","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"583","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST","RBL","666","673","99%","225","238","95%","44","48","92%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"584","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST","RRF","322","392","82%","24","24","100%","16","16","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"585","YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST","RA4","127","257","49%","4","4","100%","4","4","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"586","YORK TEACHING HOSPITAL NHS FOUNDATION TRUST","RCB","650","734","89%","121","121","100%","100","100","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"587","","Total "," 31,199 "," 34,661 ","90.0%"," 6,388 "," 6,674 ","95.7%"," 2,575 "," 2,629 ","97.9%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"588","","","","","","","","","","",""," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"589","Non-Foundation Trusts",""," July 2014 ","","","","","","","",""," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"590","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases with diagnostic assessment","Number of cases referred","Number of cases with positive or inconclusive diagnostic assessment","Percentage of cases referred"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"591","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4","590","837","70%","81","121","67%","60","94","64%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"592","BARTS HEALTH NHS TRUST","R1H","585","698","84%","88","117","75%","60","66","91%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"593","BEDFORD HOSPITAL NHS TRUST","RC1","200","217","92%","23","25","92%","19","19","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"594","BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","RXH","216","234","92%","53","53","100%","45","45","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"595","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","RXQ","350","368","95%","97","97","100%","87","87","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"596","CROYDON HEALTH SERVICES NHS TRUST","RJ6","202","214","94%","30","33","91%","33","33","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"597","DARTFORD AND GRAVESHAM NHS TRUST","RN7","184","199","92%","21","21","100%","13","14","93%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"598","EALING HOSPITAL NHS TRUST","RC3","75","79","95%","3","5","60%","1","1","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"599","EAST AND NORTH HERTFORDSHIRE NHS TRUST","RWH","372","372","100%","148","157","94%","62","69","90%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"600","EAST CHESHIRE NHS TRUST","RJN","276","282","98%","35","39","90%","22","23","96%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"601","EAST LANCASHIRE HOSPITALS NHS TRUST","RXR","539","565","95%","137","141","97%","33","33","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"602","EAST SUSSEX HEALTHCARE NHS TRUST","RXC","413","458","90%","60","61","98%","42","45","93%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"603","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST","RVR","335","363","92%","52","56","93%","26","26","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"604","GEORGE ELIOT HOSPITAL NHS TRUST","RLT","214","235","91%","51","54","94%","5","5","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"605","HINCHINGBROOKE HEALTH CARE NHS TRUST","RQQ","223","223","100%","38","38","100%","25","25","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"606","HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST","RWA","437","484","90%","42","42","100%","38","38","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"607","IMPERIAL COLLEGE HEALTHCARE NHS TRUST","RYJ","289","320","90%","180","187","96%","48","48","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"608","IPSWICH HOSPITAL NHS TRUST","RGQ","401","406","99%","63","63","100%","51","52","98%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"609","ISLE OF WIGHT NHS TRUST","R1F","230","234","98%","34","34","100%","25","25","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"610","KINGSTON HOSPITAL NHS TRUST","RAX","88","195","45%","0","0","-","0","0","-"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"611","LEEDS TEACHING HOSPITALS NHS TRUST","RR8","597","602","99%","55","55","100%","38","38","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"612","LEWISHAM AND GREENWICH NHS TRUST","RJ2","453","453","100%","79","79","100%","67","67","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"613","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST","RWF","541","546","99%","80","80","100%","53","53","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"614","MID ESSEX HOSPITAL SERVICES NHS TRUST","RQ8","365","389","94%","24","26","92%","8","8","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"615","MID YORKSHIRE HOSPITALS NHS TRUST","RXF","679","727","93%","138","138","100%","84","84","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"616","NORTH BRISTOL NHS TRUST","RVJ","517","557","93%","28","33","85%","18","27","67%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"617","NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST","RNL","276","608","45%","174","176","99%","8","8","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"618","NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RAP","584","648","90%","300","328","91%","4","4","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"619","NORTH WEST LONDON HOSPITALS NHS TRUST","RV8","294","439","67%","17","50","34%","8","8","100%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
"620","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","383","425","90%","51","53","96%","14","15","93%"," July 2014 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2014/07/Dementia-Data-Collection-Q2-2014-15-REVISED-CSV-36KB.csv"
