"","Org.name","Org.code","Number.of.cases.identified","Number.of.emergency.admissions","Percentage.of.cases.identified","Number.of.cases.with.diagnostic.assessment","Number.of.cases.with.positive.case.finding.question","Percentage.of.cases.with.diagnostic.assessment","month","url"
"311","LONDON NORTHWEST HEALTHCARE NHS TRUST","R1K","488","639","76%","242","293","83%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"312","NORTHAMPTON GENERAL HOSPITAL NHS TRUST","RNS","268","297","90%","48","48","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"313","NORTHERN DEVON HEALTHCARE NHS TRUST","RBZ","266","278","96%","51","53","96%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"314","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","RX1","1402","1642","85%","187","187","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"315","OXFORD UNIVERSITY HOSPITALS NHS TRUST","RTH","479","673","71%","360","412","87%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"316","PENNINE ACUTE HOSPITALS NHS TRUST","RW6","463","498","93%","34","37","92%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"317","PORTSMOUTH HOSPITALS NHS TRUST","RHU","626","666","94%","189","189","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"318","PLYMOUTH HOSPITALS NHS TRUST","RK9","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"319","ROYAL CORNWALL HOSPITALS NHS TRUST","REF","370","373","99%","58","58","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"320","ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST","RQ6","350","517","68%","9","23","39%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"321","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST","RAN","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"322","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST","RXK","153","163","94%","19","21","90%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"323","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST","RXW","569","581","98%","11","11","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"324","SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST","RVY","147","353","42%","7","8","88%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"325","ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST","RBN","357","378","94%","47","48","98%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"326","SURREY AND SUSSEX HEALTHCARE NHS TRUST","RTP","533","577","92%","76","77","99%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"327","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST","RQW","251","329","76%","82","82","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"328","THE ROYAL WOLVERHAMPTON NHS TRUST","RL4","337","337","100%","7","7","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"329","THE WHITTINGTON HOSPITAL NHS TRUST","RKE","182","189","96%","28","28","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"330","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST","RWD","885","1000","89%","241","252","96%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"331","UNIVERSITY HOSPITALS OF NORTH MIDLANDS","RJE","882","905","97%","147","151","97%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"332","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST","RKB","493","534","92%","103","103","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"333","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST","RWE","909","984","92%","284","295","96%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"334","WALSALL HEALTHCARE NHS TRUST","RBK","347","368","94%","63","64","98%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"335","WEST HERTFORDSHIRE HOSPITALS NHS TRUST","RWG","526","547","96%","34","35","97%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"336","WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST","RFW","214","231","93%","15","15","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"337","WESTON AREA HEALTH NHS TRUST","RA3","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"338","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","RWP","739","756","98%","200","206","97%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"339","WYE VALLEY NHS TRUST","RLQ","163","178","92%","0","0","-"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"340","","Total "," 22,277 "," 24,816 ","89.8%"," 4,488 "," 4,760 ","94.3%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"341","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"342","Community Service and Other Providers",""," May 2015 ","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"343","Org name","Org code"," Number of cases identified "," Number of emergency admissions ","Percentage of cases identified"," Number of cases with diagnostic assessment  "," Number of cases with positive case finding question ","Percentage of cases with diagnostic assessment"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"344","BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST","RYW","124","132","94%","48","49","98%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"345","HERTFORDSHIRE COMMUNITY NHS TRUST","RY4","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"346","HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST","RY9","1","2","50%","0","0","-"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"347","KENT COMMUNITY HEALTH NHS FOUNDATION TRUST","RYY","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"348","LEEDS COMMUNITY HEALTHCARE NHS TRUST","RY6","1160","1219","95%","174","180","97%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"349","LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST","RY5","7","35","20%","0","3","0%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"350","LIVERPOOL COMMUNITY HEALTH NHS TRUST","RY1","37","37","100%","8","8","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"351","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST","RP1","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"352","SOMERSET PARTNERSHIP NHS FOUNDATION TRUST","RH5","5","5","100%","1","1","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"353","TORBAY AND SOUTHERN DEVON HEALTH AND CARE NHS TRUST","R1G","308","338","91%","54","54","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"354","YOUR HEALTHCARE CIC","NNV","2","3","67%","1","1","100%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"355","","Total "," 1,644 "," 1,771 ","93%"," 286 "," 296 ","97%"," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"356","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"357","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"358","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"359","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"360","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"361","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"362","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"363","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"364","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"365","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"366","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"367","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"368","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"369","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"370","","","","","","","",""," May 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"371","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","357","406","88%","40","43","93%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"372","AIREDALE NHS FOUNDATION TRUST","RCF","206","227","91%","23","25","92%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"373","ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","RTK","298","306","97%","58","59","98%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"374","BARNSLEY HOSPITAL NHS FOUNDATION TRUST","RFF","280","292","96%","59","59","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"375","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD","476","502","95%","476","502","95%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"376","BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST","RLU","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"377","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","RXL","471","505","93%","48","49","98%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"378","BOLTON NHS FOUNDATION TRUST","RMC","267","275","97%","38","38","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"379","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","RAE","358","358","100%","3","3","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"380","BURTON HOSPITALS NHS FOUNDATION TRUST","RJF","344","344","100%","2","2","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"381","CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","RWY","452","490","92%","61","62","98%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"382","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT","569","574","99%","77","80","96%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"383","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RW3","361","394","92%","21","23","91%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"384","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST","RFS","325","325","100%","57","57","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"385","CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST","RLN","277","278","100%","58","58","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"386","COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST","RDE","494","494","100%","147","147","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"387","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST","RJR","281","293","96%","12","13","92%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"388","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST","RXP","557","605","92%","26","28","93%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"389","DERBY HOSPITALS NHS FOUNDATION TRUST","RTG","820","911","90%","90","144","63%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"390","DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST","RP5","634","703","90%","6","11","55%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"391","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST","RBD","118","274","43%","31","31","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"392","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST","RVV","568","572","99%","88","97","91%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"393","FRIMLEY HEALTH NHS FOUNDATION TRUST","RDU","631","652","97%","56","59","95%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"394","GATESHEAD HEALTH NHS FOUNDATION TRUST","RR7","299","312","96%","34","34","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"395","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST","RTE","546","612","89%","66","66","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"396","GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST","RN3","448","465","96%","64","64","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"397","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST","RJ1","166","174","95%","54","54","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"398","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST","RN5","523","536","98%","47","47","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"399","HARROGATE AND DISTRICT NHS FOUNDATION TRUST","RCD","138","149","93%","12","12","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"400","HEART OF ENGLAND NHS FOUNDATION TRUST","RR1","1066","1226","87%","160","174","92%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"401","HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RQX","NOT IN MONTH","NOT IN MONTH","-","NOT IN MONTH","NOT IN MONTH","-"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"402","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGP","256","279","92%","25","27","93%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"403","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST","RNQ","83","91","91%","83","83","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"404","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST","RJZ","423","439","96%","165","168","98%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"405","KINGSTON HOSPITAL NHS FOUNDATION TRUST","RAX","232","329","71%","32","63","51%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"406","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST","RXN","377","411","92%","104","104","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"407","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST","RBQ","34","35","97%","8","8","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"408","LIVERPOOL WOMEN'S NHS FOUNDATION TRUST","REP","2","2","100%","1","1","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"409","LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","RC9","312","326","96%","30","31","97%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"410","MEDWAY NHS FOUNDATION TRUST","RPA","283","306","92%","25","27","93%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"411","MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST","RBT","184","200","92%","14","14","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"412","MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST","RD8","203","225","90%","61","61","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"413","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST","RP6","NIL RETURN","NIL RETURN","-","NIL RETURN","NIL RETURN","-"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"414","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1","638","657","97%","37","39","95%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"415","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST","RVW","392","392","100%","47","47","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
"416","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST","RJL","422","496","85%","42","42","100%"," June 2015 ","https://www.england.nhs.uk/statistics/wp-content/uploads/sites/2/2015/11/Dementia-Data-Collection-Q1-2015-16-REVISED-CSV-32KB.csv"
