"","artist","col2","title","col4","year","medium","col7","Accession_num","unknown_code","acquisition_method","on_display_at","area","area_code","on_display_duplicate","postcode","keywords","col17","col18","col19","col20","col21","col22"
"1061","MacTaggart, William, 1903–1981","NULL","Cornfield, Pontarme, France","NULL","","oil on board","NULL","ABDAG003047","ABD_AAG_ag003047","purchased with income from the Macdonald Bequest, 1951","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1062","MacTaggart, William, 1903–1981","NULL","Mougins, Alpes Maritimes, France","NULL","","oil on canvas","NULL","ABDAG003940","ABD_AAG_ag003940","purchased with income from the Macdonald Bequest, 1940","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1063","McTaggart, William, 1835–1910","NULL","The White Calm, Ailsa Craig from Port an Righ","NULL","1901","oil on canvas","0","ABDAG003049","ABD_AAG_ag003049","purchased with the assistance of the National Fund for Acquisitions and with income from the Webster Bequest, 1970","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1064","MacWhirter, John, 1839–1911","NULL","Morning (Isle of Arran All in the Blue Unclouded Weather)","NULL","1898","oil on canvas","NULL","ABDAG004476","ABD_AAG_ag004476","presented by Sir James Murray, 1910","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Beach, Boy, Cloud, Figure, Grass, Hill, Horizon, Isle, Jetty, Landscape, Morning, Path, Person, Reflection, Rock, Sea, Shadow, Shore, Shrub, Sky, Sunlight, Sunrise, Tree, Walker","NULL","NULL",NA,NA,NA,NA
"1065","MacWhirter, John, 1839–1911","NULL","Landscape","NULL","NULL","oil on canvas","0","ABDAG009631","ABD_AAG_AG009631","presented by Mr Linklater, 1991","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Rock, Sky, Hill, Mountain","NULL","NULL",NA,NA,NA,NA
"1066","Magee, Alistair, b.1959","NULL","The Ship's Cook","NULL","1989","oil on pulped paper board","NULL","ABDAG008466","ABD_AAG_AG008466","purchased with the assistance of the National Fund for Acquisitions, 1989","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Abstract, Blue, Boat, Cook, Face, Green, Man, Person, Sea, Texture, Wall","NULL","NULL",NA,NA,NA,NA
"1067","de Maistre, Leroy Leveson Laurent Joseph, 1894–1968","NULL","Machine Shop","NULL","1963","oil on canvas","NULL","ABDAG003158","ABD_AAG_AG003158","presented by the Contemporary Art Society, 1968","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Disc, Machine, Machinery, Man, Mechanics, Shop, Worker","NULL","NULL",NA,NA,NA,NA
"1068","Malcolm, Ellen, 1923–2002","NULL","Garden at Dusk","NULL","1975","oil on canvas","NULL","ABDAG004361","ABD_AAG_ag004361","purchased, 1975","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Baush, Building, Dusk, Flower, Garden, Grass, House, Lawn, Mist, Shrub, Soil, Tree","NULL","NULL",NA,NA,NA,NA
"1069","Mann, Alexander, 1853–1908","NULL","Idling on the Sands, Forvie, Aberdeenshire","NULL","1882","oil on canvas","0","ABDAG004363","ABD_AAG_ag004363","bequeathed by Mrs Julia Doak, 1944","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1070","Manson, James Bolivar, 1879–1945","NULL","A Study of Flowers","NULL","1923","oil on canvas","NULL","ABDAG004364","ABD_AAG_ag004364","purchased, 1924","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Blue, Colour, Flower, Leaf, Orange, Still Life, Vase, Yellow","NULL","NULL",NA,NA,NA,NA
"1071","Manxman, P.","NULL","The Philosopher","NULL","NULL","oil on canvas","0","ABDAG004365","ABD_AAG_004365","bequeathed by Mrs Leslie, 1902","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Stool, Interior","NULL","NULL",NA,NA,NA,NA
"1072","Maris, Jacob Henricus, 1837–1899","NULL","Canal at Amsterdam","NULL","1891","oil on canvas","NULL","ABDAG004478","ABD_AAG_AG004478","presented by the National Art Collections Fund (Velten Bequest), 1951","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Bird, Boat, Building, Canal, Cloud, Crane, Flag, Harbour, House, Mast, Sail, Sailboat, Seagull, Ship, Sky, Water","NULL","NULL",NA,NA,NA,NA
"1073","Maris, Willem, 1844–1910","NULL","Landscape with Cattle","NULL","","oil on canvas","0","ABDAG004480","ABD_AAG_ag004480","bequeathed by J. E. Crombie, 1954","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1074","Maris, Jacob Henricus, 1837–1899","NULL","The Tow Path","NULL","NULL","oil on canvas","0","ABDAG004477","ABD_AAG_ag004477","purchased, 1927","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1075","Marks, Henry Stacy, 1829–1898","NULL","Self Portrait","NULL","1882","oil on canvas","NULL","ABDAG004366","ABD_AAG_ag004366","bequeathed by Alexander Macdonald, 1901","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","Using Art UK for family history research","NULL",NA,NA,NA,NA
"1076","Martin, David, 1737–1797","NULL","Captain Patrick Hunter","NULL","1786","oil on canvas","NULL","ABDAG004367","ABD_AAG_ag004367","purchased, 1961","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Braid, Button, Captain, Costume, Cravat, Epaulette, Hair, Jacket, Man, Military, Military Uniform, Portrait, Sword, Uniform, Waistcoat, Wig","NULL","NULL",NA,NA,NA,NA
"1077","Mason, Mary, active 1847–1891","NULL","George Mason, ARA","(after Valentine Cameron Prinsep)","","oil on canvas","NULL","ABDAG004350","ABD_AAG_ABDAG004350","bequeathed by Alexander Macdonald, 1901","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1078","Matthews, William, 1885–1962","NULL","Iona","NULL","1934","oil on canvas","NULL","ABDAG010599","ABD_AAG_AG010599","presented by Elizabeth Matthews, 1991","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Abbey, Beach, Building, Cloud, Coast, Coastline, Dune, Hill, Island, Mountain, Rock, Sand, Sea, Seashore, Shore, Sky","NULL","NULL",NA,NA,NA,NA
"1079","Maxwell, John, 1905–1962","NULL","Butterflies and Roses","NULL","1958","oil on canvas","NULL","ABDAG004375","ABD_AAG_ag004375","purchased with income from the Macdonald Bequest, 1959","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Antenna, Black, Blue, Bright, Butterfly, Colour, Colourful, Flower, Green, Orange, Pink, Red, Rose, Shape, Vibrant, Wing","NULL","NULL",NA,NA,NA,NA
"1080","May, Nicholas, b.1962","NULL","Elipse (Blue)","NULL","1996","acrylic, silicone & metallic powder on canvas","NULL","ABDAG013863","ABD_AAG_013863","presented by the Saatchi Gallery with the assistance of the National Art Collections Fund, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Abstract, Blue, Blue Background, Elipse, Ellipse, Orange, Oval, Red, Shape, Sun, Texture","NULL","NULL",NA,NA,NA,NA
"1081","McBey, James, 1883–1959","NULL","Head and Shoulders of a Woman","NULL","NULL","oil on canvas","NULL","ABDAG013807","ABD_AAG_AG013807b","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1082","McBey, James, 1883–1959","NULL","Ouarzazate, Morocco","NULL","NULL","oil on canvas","NULL","ABDAG013827","ABD_AAG_013827","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1083","McBey, James, 1883–1959","NULL","Outside Walls, Marrakech, Morocco","NULL","NULL","oil on canvas","NULL","ABDAG013832","ABD_AAG_013832","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1084","McBey, James, 1883–1959","NULL","Acrobats, Marrakesh, Morocco","NULL","1936","oil on canvas","NULL","ABDAG013733","ABD_AAG_ag013733","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Acrobat, Acrobats, Audience, Back, Blue, Boy, Burkha, Child, Costume, Crowd, Earring, Fez, Foot, Girl, Hajib, Hijab, Man, Orange, Veil, Woman","NULL","NULL",NA,NA,NA,NA
"1085","McBey, James, 1883–1959","NULL","Anghera Peasant Girl","NULL","1938","oil on canvas","NULL","ABDAG013734","ABD_AAG_ag013734","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Basket, Box, Chicken, Costume, Girl, Hen, Peasant, Portrait, Pot, Rock, Scarf, Woman","NULL","NULL",NA,NA,NA,NA
"1086","McBey, James, 1883–1959","NULL","Woman on a Sofa","NULL","1929","oil on canvas","NULL","ABDAG013735","ABD_AAG_ag013735","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Blanket, Cover, Cushion, Floor, Fringe, Hair, Pillow, Portrait, Red, Sofa, Wall, Woman","NULL","NULL",NA,NA,NA,NA
"1087","McBey, James, 1883–1959","NULL","The Dwarf Don Diego de Acedo 'El Primo'","(after Diego Velázquez)","NULL","oil on canvas","NULL","ABDAG013737","ABD_AAG_ag013737","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1088","McBey, James, 1883–1959","NULL","View of Meknes, Morocco","NULL","1935","oil on canvas","NULL","ABDAG013738","ABD_AAG_ag013738","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Arab, Awning, Building, Child, Heat, Hot, Man, Market, People, Robe, Shade, Shadow, Shop, Shutter, Sky, Stall, Street, Turban, Walking Stick, Window, Woman","NULL","NULL",NA,NA,NA,NA
"1089","McBey, James, 1883–1959","NULL","Chinese Woman","NULL","1936","oil on canvas","NULL","ABDAG013739","ABD_AAG_ag013739","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Book, Cheongsam, Chinese, Dress, Earring, Oriental, Table, Woman","NULL","NULL",NA,NA,NA,NA
"1090","McBey, James, 1883–1959","NULL","Arab Girl","NULL","NULL","oil on canvas","NULL","ABDAG013740","ABD_AAG_ag013740","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1091","McBey, James, 1883–1959","NULL","Woman Writing at a Secretaire","NULL","1932","oil on canvas board","NULL","ABDAG013741","ABD_AAG_ag013741","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Chair, Desk, Dress, Hat, Hinge, Room, Rug, Secretaire, Shadow, Shoe, Shoes, Summer Dress, Sunlight, Woman, Writing, Writing Desk","NULL","NULL",NA,NA,NA,NA
"1092","McBey, James, 1883–1959","NULL","Marguerite","NULL","c.1937","oil on canvas","NULL","ABDAG013752","ABD_AAG_ag013752","NULL","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Blouse, Hair, Hairstyle, Portrait, Scarf, Waistcoat, Woman","NULL","NULL",NA,NA,NA,NA
"1093","McBey, James, 1883–1959","NULL","Arab Man with a Child","NULL","c.1933","oil on canvas","NULL","ABDAG013820","ABD_AAG_ag013820","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Arab, Beard, Child, Costume, Father, Hand, Headdress, Love, Man, Piggyback, Poor, Turban","NULL","NULL",NA,NA,NA,NA
"1094","McBey, James, 1883–1959","NULL","Robert Watt","NULL","1908","oil on canvas","NULL","ABDAG008401","ABD_AAG_ag008401","purchased, 1989","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Book, Chair, Collar, Document, Hand, Man, Moustache, Paper, Portrait, Suit, Table, Tie","NULL","NULL",NA,NA,NA,NA
"1095","McBey, James, 1883–1959","NULL","Dreams","NULL","","oil on canvas on panel","NULL","ABDAG002281","ABD_AAG_ag002281","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1096","McBey, James, 1883–1959","NULL","Bury, Sussex, 'Black Dog and Duck' Pub","NULL","1936","oil on canvas","NULL","ABDAG001451","ABD_AAG_ag001451","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","People, Pub, Tree, Roof, Cottage","NULL","NULL",NA,NA,NA,NA
"1097","McBey, James, 1883–1959","NULL","Volendam Girl","NULL","c.1910","oil on canvas","NULL","ABDAG004481","ABD_AAG_004481","presented by Mr and Mrs Gillespie, 1961","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Apron, Blue Dress, Building, Clog, Dress, Dutch, Dutch Cap, Dutch Girl, Dutch Hat, Fence, Flowers, Garden, Girl, Grass, Hat, House, Meadow, Wooden Shoe","NULL","NULL",NA,NA,NA,NA
"1098","McBey, James, 1883–1959","NULL","The Umbrella Man","NULL","1896","oil on canvas on card","NULL","ABDAG011625","ABD_AAG_011625","presented by Marguerite McBey, 1961","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Chair, Indoors, Man, Moustache, Open, Open Umbrella, Table, Umbrella","NULL","NULL",NA,NA,NA,NA
"1099","McBey, James, 1883–1959","NULL","Arab Woman","(sketch)","NULL","oil on canvas","NULL","ABDAG013818","ABD_AAG_013818","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1100","McBey, James, 1883–1959","NULL","Tizi-n-Tichka Pass, Morocco","(sketch)","NULL","oil on canvas","NULL","ABDAG013821","ABD_AAG_013821","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1101","McBey, James, 1883–1959","NULL","View of the Atlas Mountains, Morocco","NULL","NULL","oil on canvas","NULL","ABDAG013822","ABD_AAG_013822","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1102","McBey, James, 1883–1959","NULL","Atlas Mountains, Morocco","(sketch)","NULL","oil on canvas","NULL","ABDAG013828","ABD_AAG_013828","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1103","McBey, James, 1883–1959","NULL","Atlas Mountains and a River, Morocco","(sketch)","NULL","oil on canvas","NULL","ABDAG013831","ABD_AAG_013831","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Snow","NULL","NULL",NA,NA,NA,NA
"1104","McBey, James, 1883–1959","NULL","Two Views of a Moroccan Town","NULL","NULL","oil on canvas","NULL","ABDAG013834","ABD_AAG_013834","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1105","McBey, James, 1883–1959","NULL","Figures at a Doorway, Morocco","NULL","NULL","oil on canvas","NULL","ABDAG013835","ABD_AAG_013835","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1106","McBey, James, 1883–1959","NULL","Ouarzazate, Morocco","NULL","c.1935","oil on canvas","NULL","ABDAG013736","ABD_AAG_ag013836","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Arab, Arabian, Building, Castle, Cloud, Desert, Donkey, Fort, Fortification, Heat, Horse, Landscape, Man, People, Robe, Sand, Shade, Shadow, Sky, Town, Turban","NULL","NULL",NA,NA,NA,NA
"1107","McBey, James, 1883–1959","NULL","The Artist's Studio","NULL","NULL","oil on board","NULL","ABDAG013837","ABD_AAG_ABDAG013837","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1108","McBey, James, 1883–1959","NULL","Red Hibiscus","NULL","NULL","oil on canvas","NULL","ABDAG013836","ABD_AAG_ABDAG013836","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1109","McBey, James, 1883–1959","NULL","Portrait of a Woman in Red","NULL","NULL","oil on canvas","NULL","ABDAG013823","ABD_AAG_ABDAG013823","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1110","McBey, James, 1883–1959","NULL","Farmyard Hen and Chicks","NULL","1936","oil on canvas","NULL","ABDAG013824","ABD_AAG_ABDAG013824","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Beak, Bird, Chick, Chicken, Farmyard, Feather, Grass, Hen, Water","NULL","NULL",NA,NA,NA,NA
"1111","McBey, James, 1883–1959","NULL","Black and White Puppy Lying on a Bed","NULL","NULL","oil on canvas","NULL","ABDAG013825","ABD_AAG_ABDAG013825","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1112","McBey, James, 1883–1959","NULL","Black and White Puppy","NULL","NULL","oil on canvas","NULL","ABDAG013826","ABD_AAG_ABDAG013826","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1113","McBey, James, 1883–1959","NULL","View of Lerma","NULL","NULL","oil on canvas","NULL","ABDAG013833","ABD_AAG_ABDAG013833","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1114","McBey, James, 1883–1959","NULL","William Williams (1859–1949), Schoolmaster at Newburgh and the Artist's Teacher","NULL","1936","oil on panel","1","ABDAG002947","ABD_AAG_ABDAG002947","presented by Marguerite McBey, 1961, not available at the time of photography","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","NULL","NULL","NULL",NA,NA,NA,NA
"1115","McBey, James, 1883–1959","NULL","The Artist's Grandmother","NULL","1901","oil on canvas","NULL","ABDAG003082","ABD_AAG_ag003082","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Black Dress, Bonnet, Cap, Dress, Grandmother, Hat, Old Lady, Old Woman, Shawl, Woman","NULL","NULL",NA,NA,NA,NA
"1116","McBey, James, 1883–1959","NULL","Tetouan Market Place, Morocco","NULL","1912–1913","oil on canvas","NULL","ABDAG008100","ABD_AAG_ag008100","bequeathed by George Dominic Robinson with the assistance of the National Art Collections Fund, 1988","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Arab, Arch, Archway, Building, Dome, Gateway, Man, Market, Marketplace, Minaret, People, Shade, Shadow, Sky, Speaker, Square, Stone, Sunlight, Sunshine, Wall, White, Window, Woman","NULL","NULL",NA,NA,NA,NA
"1117","McBey, James, 1883–1959","NULL","Foveran Mill, Aberdeenshire","NULL","1936","oil on canvas on panel","NULL","ABDAG006583","ABD_AAG_AG006583","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Building, Child, Children, Chimney, Cloud, Cottage, Dog, Fence, Field, Hill, House, Landscape, Lane, Mill, People, Road, Rural, Sky, Telegraph Pole, Tree, Village, Woman","NULL","NULL",NA,NA,NA,NA
"1118","McBey, James, 1883–1959","NULL","Mrs Robert Watt","NULL","1909","oil on canvas","NULL","ABDAG010838","ABD_AAG_ag010838","purchased, 1994","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Coat, Curl, Dress, Elegance, Frame, Fur, Fur Coat, Genlt, Gown, Hair, Hand, High Collar, Lady, Painting, Portrait, Ring, Sleeve, Woman","NULL","NULL",NA,NA,NA,NA
"1119","McBey, James, 1883–1959","NULL","Self Portrait","NULL","1952","oil on canvas","NULL","ABDAG013852","ABD_AAG_ag013852","bequeathed by Marguerite McBey, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Artist, Brush, Cloth, Grey Hair, Jacket, Man, Paint Brush, Paintbrush, Painter, Palette, Portrait, Rag, Shirt, Tan","NULL","NULL",NA,NA,NA,NA
"1120","McBey, James, 1883–1959","NULL","Marguerite McBey (1905–1999)","NULL","1950","oil on canvas","NULL","ABDAG013853","ABD_AAG_ag013853","bequeathed by the sitter, 2000","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Ashtray, Blouse, Bowl, Button, Cardigan, Chair, Glasses, Grape, Hand, Hat, Headscarf, Napkin, Plate, Ring, Scarf, Shirt, Sunglasses, Table, Tablecloth, Tree, Woman, Orange","NULL","NULL",NA,NA,NA,NA
"1121","McBey, James, 1883–1959","NULL","Seascape, Macduff, Aberdeenshire","NULL","1927","oil on canvas","NULL","ABDAG002278","ABD_AAG_ag002278","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Boat, Cloud, Coast, Foam, Harbour, Lighthouse, Rough, Sea, Seascape, Ship, Sky, Storm, Wave, Wind","NULL","NULL",NA,NA,NA,NA
"1122","McBey, James, 1883–1959","NULL","Sunday in Scotland (Rowallan)","NULL","1936","oil on canvas on panel","NULL","ABDAG002279","ABD_AAG_AG002279","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Barn, Chicken, Cloud, Farm, Fowl, Grass, Hedge, Hen, Hens, Hill, House, Houses, Lane, Man, People, Road, Roadside, Roof, Sky, Sunday, Tree, Verge, Village, Chimney","NULL","NULL",NA,NA,NA,NA
"1123","McBey, James, 1883–1959","NULL","The Headland","NULL","1909","oil on canvas on panel","NULL","ABDAG002401","ABD_AAG_ag002401","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Bird, Breaker, Cliff, Cloud, Coast, Gull, Headland, Rock, Sea, Seabird, Seagull, Seascape, Shore, Sky, Sunlight, Wave","NULL","NULL",NA,NA,NA,NA
"1124","McBey, James, 1883–1959","NULL","Venetian Scene, Lagoon with Boats at Quay","NULL","1927","oil on canvas on board","NULL","ABDAG002403","ABD_AAG_AG002403","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Beach, Boat, Building, Child, Clothing, Cloud, Coast, Dock, Dome, Dress, Harbour, Hat, Lagoon, Landscape, Ocean, People, Pier, Promenade, Quay, Quayside, Sail, Sailboat, Sea, Ship, Sky, Tower, Town, Water, Woman","NULL","NULL",NA,NA,NA,NA
"1125","McBey, James, 1883–1959","NULL","Bury, Sussex, Landscape with a Church Spire","NULL","1937","oil on canvas","NULL","ABDAG002405","ABD_AAG_AG002405","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Branch, Church, Cloud, Countryside, Grass, House, Landscape, Lane, Path, People, Road, Rural, Sky, Spire, Tree, Trees, Village, Winter, Cottage","NULL","NULL",NA,NA,NA,NA
"1126","McBey, James, 1883–1959","NULL","Martin Hardie (1875–1952), in His Etching Studio","NULL","c.1915","oil on canvas","NULL","ABDAG002940","ABD_AAG_AG002940","purchased, 1967","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Acid, Artist, Book, Bottle, Dish, Etcher, Etching, Feather, Flask, Interior, Man, Moustache, Overall, Paintbrush, Paper, Picture, Pipe, Portrait, Smock, Studio, Table","NULL","NULL",NA,NA,NA,NA
"1127","McBey, James, 1883–1959","NULL","Portrait of a Hero (John Innes of Newburgh)","NULL","1936","oil on canvas","NULL","ABDAG002944","ABD_AAG_ag002944","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Blue Eyes, Cap, Flat Cap, Hat, Hero, Jumper, Man, Moustache, Painting, Portrait, Pullover, Ruddy, Sweater","NULL","NULL",NA,NA,NA,NA
"1128","McBey, James, 1883–1959","NULL","Marrakesh, Morocco","NULL","1938","oil on canvas","NULL","ABDAG009664","ABD_AAG_ag009664","bequeathed by Dr Andrew Stewart, 1991","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Awning, Building, Buildings, Bustle, Crowd, Desert, Donkey, Heat, Hill, House, Ladder, Market, Marketplace, Pastel, People, Pink, Red, Rooftop, Shadow, Square, Stall, Sunlight, Sunny, Town","NULL","NULL",NA,NA,NA,NA
"1129","McBey, James, 1883–1959","NULL","Ythan Mouth","NULL","1936","oil on canvas","NULL","ABDAG001448","ABD_AAG_ag001448","presented by Marguerite McBey, 1961","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Bank, Boat, Bridge, Estuary, Fisherman, Fishing, Horizon, Man, North Sea, River, Riverbank, Rock, Sand, Sea, Shore, Sky, Stone, Water, Wave","NULL","NULL",NA,NA,NA,NA
"1130","McBey, James, 1883–1959","NULL","Atlas Mountains, Morocco","(sketch)","c.1938","oil on canvas","NULL","ABDAG001449","ABD_AAG_ag001449","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Canyon, Cloud, Crack, Desert, Fissure, Horse, Mountain, Rock, Sky, Snow","NULL","NULL",NA,NA,NA,NA
"1131","McBey, James, 1883–1959","NULL","Bury, Sussex, Hill in the Distance","NULL","1936","oil on canvas","NULL","ABDAG001450","ABD_AAG_AG001450","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Building, Cloud, Cottage, Countryside, Farmer, Field, Grass, Hill, House, Landscape, Man, Road, Rural, Sky, Thatch, Thatched Roof, Tree, Village","NULL","NULL",NA,NA,NA,NA
"1132","McBey, James, 1883–1959","NULL","El Marrakeshia","NULL","1936","oil on canvas","NULL","ABDAG001447","ABD_AAG_001447","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Beauty, Button, Costume, Dress, Gold, Head Dress, Headdress, Indian, Jewel, Jewellery, Pattern, Pink, Portrait, Seated, Woman","NULL","NULL",NA,NA,NA,NA
"1133","McBey, James, 1883–1959","NULL","Phyllis with a Violin","(Phyllis Allan, Later Lady Langley Taylor)","1915","oil on canvas","NULL","ABDAG002280","ABD_AAG_002280","presented by Marguerite McBey, 1960","Aberdeen Art Gallery & Museums","Aberdeen","ABD","NULL","NULL","Bow, Dress, Girl, Hair, Long Hair, Plait, Shadow, Tree, Violin, Wallpaper, White, White Dress, Woman","NULL","NULL",NA,NA,NA,NA
