EstablishmentDetail - FHRSID,EstablishmentDetail - RatingKey,EstablishmentDetail - RatingDate,EstablishmentDetail - SchemeType,EstablishmentDetail - RatingValue,EstablishmentDetail - BusinessName,EstablishmentDetail - BusinessType,EstablishmentDetail - BusinessTypeID,EstablishmentDetail - NewRatingPending,EstablishmentDetail - LocalAuthorityCode,EstablishmentDetail - LocalAuthorityName,EstablishmentDetail - LocalAuthorityWebSite,EstablishmentDetail - LocalAuthorityBusinessID,EstablishmentDetail - LocalAuthorityEmailAddress,EstablishmentDetail - AddressLine1,EstablishmentDetail - AddressLine2,EstablishmentDetail - PostCode,EstablishmentDetail - Geocode - Latitude,EstablishmentDetail - Geocode - Longitude,EstablishmentDetail - Scores - Hygiene,EstablishmentDetail - Scores - Structural,EstablishmentDetail - Scores - ConfidenceInManagement,EstablishmentDetail - AddressLine3,EstablishmentDetail - AddressLine4
976124,fhrs_3_en-GB,17/07/2017,FHRS,3,Adams Sweets,Takeaway/sandwich shop,7844,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000539434,nick.lowe@birmingham.gov.uk,641 Washwood Heath Road,Birmingham,B8 2HJ,52.493113,-1.832566,,,,,
601285,fhrs_5_en-GB,18/01/2016,FHRS,5,Adderley Childrens Centre.,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000450365,nick.lowe@birmingham.gov.uk,1 St Saviours Road,Birmingham,B8 1HN,52.488105,-1.859815,0,5,0,,
599340,fhrs_5_en-GB,07/03/2017,FHRS,5,Adderley Junior & Infant School,School/college/university,7845,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000254290,nick.lowe@birmingham.gov.uk,Arden Road,Washwood Heath,B8 1DZ,52.483827,-1.861051,5,5,5,Birmingham,
602343,fhrs_5_en-GB,01/03/2017,FHRS,5,Adderley News,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000481134,nick.lowe@birmingham.gov.uk,Unit 29,Adderley Trading Estate,B8 1AN,52.48694,-1.862499,5,5,5,Adderley Road,Birmingham
720201,fhrs_1_en-GB,30/08/2017,FHRS,1,Addis Cafe,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000615760,nick.lowe@birmingham.gov.uk,137 Stratford Road,Sparkbrook,B11 1RD,52.464004,-1.877112,10,15,20,Birmingham,
976180,fhrs_4_en-GB,09/05/2017,FHRS,4,Adils,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000634839,nick.lowe@birmingham.gov.uk,148-150 Stoney Lane,Sparkbrook,B12 8AQ,52.45531464,-1.873502016,5,5,10,Birmingham,
604401,fhrs_5_en-GB,27/10/2015,FHRS,5,Advance Enablement,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000510762,nick.lowe@birmingham.gov.uk,134 Church Lane,Nechells,B6 5UG,52.502419,-1.877521,5,5,0,Birmingham,
602467,fhrs_4_en-GB,01/03/2017,FHRS,4,Adventure Island Mini Golf,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000482947,nick.lowe@birmingham.gov.uk,Unit 20,Star City,B7 5SA,52.505488,-1.856504,5,0,10,Watson Road,Birmingham
603897,fhrs_5_en-GB,27/07/2016,FHRS,5,Afia's Samosa Shop,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000503886,nick.lowe@birmingham.gov.uk,,,,,,0,5,5,,
602924,fhrs_5_en-GB,01/03/2017,FHRS,5,African Conection,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000489609,nick.lowe@birmingham.gov.uk,514 Birchfield Road,Birmingham,B20 3JE,52.516322,-1.901724,5,5,5,,
602848,fhrs_4_en-GB,03/05/2017,FHRS,4,African Continental Market,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000488405,nick.lowe@birmingham.gov.uk,307 Witton Road,Aston,B6 6NT,52.509964,-1.888919,0,10,10,Birmingham,
600703,fhrs_3_en-GB,22/06/2016,FHRS,3,African Foods,Retailers - other,4613,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000432543,nick.lowe@birmingham.gov.uk,"Stall 59, Indoor Market",50 Edgbaston Street,B5 4RQ,52.476122,-1.895099,10,10,10,Birmingham,
1007273,fhrs_1_en-GB,30/08/2017,FHRS,1,African Restaurant Prokhane,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000621629,nick.lowe@birmingham.gov.uk,Unit C3,264-266 Dudley Road,B18 4HL,52.48628616,-1.942021966,10,10,20,Birmingham,
603480,fhrs_5_en-GB,13/03/2015,FHRS,5,Afro Carribean Day Centre,Restaurant/Cafe/Canteen,1,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000498336,nick.lowe@birmingham.gov.uk,Kings Heath Community Centre,8 Heathfield Road,B14 7DB,52.434377,-1.890035,5,0,0,Moseley And Kings Heath,Birmingham
853944,fhrs_5_en-GB,05/02/2016,FHRS,5,Afternoonsies,Other catering premises,7841,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000369130,nick.lowe@birmingham.gov.uk,,,,,,0,0,0,,
620360,fhrs_5_en-GB,08/06/2015,FHRS,5,Agnes House,Hospitals/Childcare/Caring Premises,5,FALSE,402,Birmingham,http://www.birmingham.gov.uk/environmental-health,PI/000327554,nick.lowe@birmingham.gov.uk,11a Arthur Road,Erdington,B24 9EX,52.525275,-1.829806,5,5,5,Birmingham,
